MaleID,TroopID,Year,Sample_Length,Foraging,Season,Consort,OSR
7,1,2003,930,930,Short,No,0.17
7,1,2003,929,853,Short,No,0.17
11,1,2003,934,745,Short,No,0.17
1,1,2003,925,236,Short,No,0.17
10,1,2003,944,944,Short,No,0.17
1,1,2003,927,670,Short,No,0.17
11,1,2003,920,848,Short,No,0.17
10,1,2003,960,960,Short,No,0.17
11,1,2003,944,944,Short,No,0.17
3,1,2003,923,878,Short,No,0.17
10,1,2003,931,333,Short,No,0.17
3,1,2003,925,903,Short,No,0.17
1,1,2003,913,913,Short,No,0.17
7,1,2003,935,912,Short,No,0.17
11,1,2003,926,926,Short,No,0.17
7,1,2003,929,760,Short,No,0.17
3,1,2003,942,942,Short,No,0.17
11,1,2003,925,925,Short,No,0.17
10,1,2003,927,927,Short,No,0.17
11,1,2003,1038,0,Short,No,0.14
10,1,2003,921,268,Short,No,0.14
11,1,2003,923,923,Short,No,0.14
1,1,2003,932,457,Short,No,0.14
10,1,2003,917,917,Short,No,0.14
3,1,2003,922,853,Short,No,0.14
11,1,2003,1233,817,Short,No,0.17
7,1,2003,1229,575,Short,No,0.17
4,1,2003,1263,657,Short,No,0.17
1,1,2003,1057,1057,Short,No,0.17
1,1,2003,1227,1055,Short,No,0.17
4,1,2003,1204,902,Short,No,0.17
10,1,2003,1221,809,Short,No,0.17
10,1,2003,1249,0,Short,No,0.14
11,1,2003,1228,716,Short,No,0.14
7,1,2003,1227,1227,Short,No,0.14
4,1,2003,1233,1233,Short,No,0.14
1,1,2003,1014,957,Short,No,0.14
11,1,2003,1252,425,Short,No,0.14
10,1,2003,1220,1220,Short,No,0.14
4,1,2003,912,827,Short,No,0.14
4,1,2003,1232,1232,Short,No,0.14
1,1,2003,1186,1127,Short,No,0.14
11,1,2003,1431,1022,Short,No,0.14
10,1,2003,1240,1240,Short,No,0.14
7,1,2003,1230,1199,Short,No,0.14
11,1,2003,1267,535,Short,No,0.14
4,1,2003,1289,1183,Short,No,0.14
1,1,2003,1229,1229,Short,No,0.14
7,1,2003,1252,342,Short,No,0.14
4,1,2003,1122,733,Short,No,0.14
1,1,2003,1237,1189,Short,No,0.14
7,1,2003,1232,1232,Short,No,0.14
11,1,2003,1251,1161,Short,No,0.14
10,1,2003,1200,588,Short,No,0.14
1,1,2003,1200,465,Short,No,0.14
10,1,2003,1235,1156,Short,No,0.14
4,1,2003,1246,853,Short,No,0.14
7,1,2003,1210,0,Short,No,0.17
3,1,2003,1186,722,Short,No,0.17
10,1,2003,1179,1023,Short,No,0.17
11,1,2003,1163,1163,Short,No,0.17
10,1,2003,1119,953,Short,No,0.17
7,1,2003,1235,1128,Short,No,0.17
1,1,2003,1255,1255,Short,No,0.17
3,1,2003,1175,1175,Short,No,0.17
1,1,2003,1200,0,Short,No,0.17
10,1,2003,942,888,Short,No,0.17
7,1,2003,1168,1168,Short,No,0.17
3,1,2003,1210,1210,Short,No,0.17
10,1,2003,1191,1191,Short,No,0.17
11,1,2003,2133,482,Short,No,0.17
1,1,2003,1210,224,Short,No,0.17
7,1,2003,1165,126,Short,No,0.17
3,1,2003,1367,256,Short,No,0.17
9,1,2003,1188,636,Short,No,0.17
11,1,2003,1163,1163,Short,No,0.17
1,1,2003,1330,1162,Short,No,0.17
10,1,2003,1164,1164,Short,No,0.17
7,1,2003,1205,1205,Short,No,0.17
1,1,2003,1188,1188,Short,No,0.17
3,1,2003,1232,1232,Short,No,0.17
11,1,2003,1222,1222,Short,No,0.17
9,1,2003,1200,0,Short,No,0.17
10,1,2003,1211,1211,Short,No,0.17
11,1,2003,1175,1175,Short,No,0.17
1,1,2003,1205,1205,Short,No,0.17
7,1,2003,1197,1197,Short,No,0.17
10,1,2003,1232,0,Short,No,0.17
11,1,2003,1236,610,Short,No,0.17
7,1,2003,1162,1002,Short,No,0.17
1,1,2003,1239,980,Short,No,0.17
10,1,2003,1222,0,Short,No,0.17
11,1,2003,1204,694,Short,No,0.17
7,1,2003,1526,1264,Short,No,0.17
1,1,2003,1195,741,Short,No,0.17
3,1,2003,1184,482,Short,No,0.17
10,1,2003,1174,1071,Short,No,0.17
11,1,2003,1215,1114,Short,No,0.17
7,1,2003,1178,1044,Short,No,0.17
9,1,2003,1243,1243,Short,No,0.17
10,1,2003,1186,1186,Short,No,0.17
7,1,2003,1159,1159,Short,No,0.17
1,1,2003,1174,1174,Short,No,0.17
1,1,2003,1199,52,Short,No,0.17
10,1,2003,1207,613,Short,No,0.17
11,1,2003,1204,1121,Short,No,0.17
4,1,2003,1203,1163,Short,No,0.17
10,1,2003,1210,1210,Short,No,0.17
1,1,2003,1223,0,Short,No,0.17
11,1,2003,1203,12,Short,No,0.17
4,1,2003,1205,880,Short,No,0.17
1,1,2003,1206,1013,Short,No,0.17
4,1,2003,1206,1206,Short,No,0.17
11,1,2003,1201,939,Short,No,0.17
4,1,2003,1208,514,Short,No,0.17
11,1,2003,1203,1063,Short,No,0.17
4,1,2003,1206,1141,Short,No,0.17
10,1,2003,1205,1205,Short,No,0.17
1,1,2003,1205,973,Short,No,0.17
10,1,2003,1208,872,Short,No,0.17
1,1,2003,1200,669,Short,No,0.17
4,1,2003,912,219,Short,No,0.17
11,1,2003,1205,1205,Short,No,0.17
10,1,2003,1207,1207,Short,No,0.17
1,1,2003,1211,1101,Short,No,0.17
11,1,2003,1200,0,Short,No,0.17
10,1,2003,1256,0,Short,No,0.17
1,1,2003,1206,40,Short,No,0.17
10,1,2003,1204,1204,Short,No,0.17
9,1,2003,1203,1178,Short,No,0.17
1,1,2003,1204,812,Short,No,0.17
7,1,2003,1222,512,Short,No,0.17
9,1,2003,1207,1207,Short,No,0.17
3,1,2003,1202,1202,Short,No,0.17
4,1,2003,1204,1204,Short,No,0.17
7,1,2003,1203,33,Short,No,0.17
1,1,2003,1188,83,Short,No,0.17
3,1,2003,1204,0,Short,No,0.17
1,1,2003,1206,0,Short,No,0.17
7,1,2003,1208,359,Short,No,0.17
11,1,2003,1205,1168,Short,No,0.17
10,1,2003,1214,1128,Short,No,0.17
9,1,2003,1202,1202,Short,No,0.17
1,1,2003,1201,1201,Short,No,0.17
7,1,2003,1204,1190,Short,No,0.17
11,1,2003,1203,1188,Short,No,0.17
10,1,2003,1206,1206,Short,No,0.17
9,1,2003,1202,842,Short,No,0.17
7,1,2003,1209,1209,Short,No,0.17
9,1,2003,908,726,Short,No,0.17
3,1,2003,1260,534,Short,No,0.17
11,1,2003,1206,839,Short,No,0.17
7,1,2003,1202,471,Short,No,0.17
3,1,2003,1202,1153,Short,No,0.17
7,1,2003,1202,1202,Short,No,0.17
11,1,2003,1203,1028,Short,No,0.17
11,1,2003,1205,1162,Short,No,0.17
7,1,2003,1205,107,Short,No,0.17
9,1,2003,1509,78,Short,No,0.17
10,1,2003,1202,1202,Short,No,0.17
3,1,2003,1204,1204,Short,No,0.17
11,1,2003,1098,1098,Short,No,0.17
9,1,2003,1203,1172,Short,No,0.17
7,1,2003,1207,746,Short,No,0.17
9,1,2003,1216,464,Short,No,0.17
10,1,2003,1205,895,Short,No,0.17
3,1,2003,1206,1192,Short,No,0.17
11,1,2003,1209,1116,Short,No,0.17
10,1,2003,1203,0,Short,No,0.17
3,1,2003,1023,1023,Short,No,0.17
7,1,2003,1206,1206,Short,No,0.17
11,1,2003,1206,895,Short,No,0.17
10,1,2003,1505,1313,Short,No,0.17
9,1,2003,1205,667,Short,No,0.17
3,1,2003,1204,1204,Short,No,0.17
9,1,2003,1206,1206,Short,No,0.17
3,1,2003,1205,1086,Short,No,0.17
10,1,2003,1204,1117,Short,No,0.17
7,1,2003,1207,1160,Short,No,0.17
9,1,2003,1200,0,Short,No,0.17
11,1,2003,1200,630,Short,No,0.17
3,1,2003,1191,712,Short,No,0.17
9,1,2003,1203,1203,Short,No,0.17
7,1,2003,1205,1073,Short,No,0.17
10,1,2003,1187,0,Short,No,0.17
11,1,2003,1023,902,Short,No,0.14
1,1,2003,1205,1205,Short,No,0.14
17,1,2003,1206,1206,Short,No,0.14
17,1,2003,1209,1115,Short,No,0.14
1,1,2003,1203,935,Short,No,0.14
3,1,2003,1316,764,Short,No,0.14
9,1,2003,1186,1186,Short,No,0.14
17,1,2003,1205,1048,Short,No,0.2
1,1,2003,1009,823,Short,No,0.2
9,1,2003,1203,1148,Short,No,0.2
7,1,2003,1095,966,Short,No,0.2
11,1,2003,1204,1204,Short,No,0.2
17,1,2003,1202,1202,Short,No,0.2
1,1,2003,1200,845,Short,No,0.2
9,1,2003,1201,1128,Short,No,0.2
11,1,2003,1205,230,Short,No,0.2
7,1,2003,1202,363,Short,No,0.2
7,1,2003,1212,0,Short,No,0.2
9,1,2003,1180,858,Short,No,0.2
17,1,2003,1203,1158,Short,No,0.2
11,1,2003,1203,1095,Short,No,0.2
1,1,2003,1207,1207,Short,No,0.2
17,1,2003,1203,1148,Short,No,0.2
7,1,2003,1203,1152,Short,No,0.2
11,1,2003,1201,1123,Short,No,0.2
9,1,2003,1200,586,Short,No,0.2
1,1,2003,1205,482,Short,No,0.2
17,1,2003,1206,1150,Short,No,0.2
9,1,2003,1203,0,Short,No,0.2
17,1,2003,877,0,Short,No,0.2
9,1,2003,1204,131,Short,No,0.2
1,1,2003,1207,1207,Short,No,0.2
11,1,2003,1209,1182,Short,No,0.2
7,1,2003,986,964,Short,No,0.2
17,1,2003,1207,1067,Short,No,0.2
9,1,2003,1206,1066,Short,No,0.2
1,1,2003,1148,1042,Short,No,0.2
11,1,2003,1204,1204,Short,No,0.2
7,1,2003,1222,629,Short,No,0.2
1,1,2003,1255,1042,Short,No,0.2
1,1,2003,1174,0,Short,No,0.2
11,1,2003,1205,1024,Short,No,0.2
7,1,2003,1210,869,Short,No,0.2
17,1,2003,1181,1094,Short,No,0.2
7,1,2003,1182,1119,Short,No,0.2
9,1,2003,1202,730,Short,No,0.2
1,1,2003,1204,1043,Short,No,0.2
17,1,2003,1057,503,Short,No,0.2
11,1,2003,1200,1200,Short,No,0.2
9,1,2003,1212,1119,Short,No,0.2
7,1,2003,1206,1072,Short,No,0.2
7,1,2003,891,662,Short,No,0.2
11,1,2003,1165,1024,Short,No,0.2
9,1,2003,1202,959,Short,No,0.2
7,1,2003,1203,1192,Short,No,0.2
17,1,2003,1144,1144,Short,No,0.2
17,1,2003,1204,0,Short,No,0.2
7,1,2003,1223,0,Short,No,0.2
9,1,2003,1205,1129,Short,No,0.2
17,1,2003,945,928,Short,No,0.2
11,1,2003,1206,1172,Short,No,0.2
7,1,2003,1210,1199,Short,No,0.2
9,1,2003,1207,1207,Short,No,0.2
11,1,2003,1207,1207,Short,No,0.2
17,1,2003,1077,0,Short,No,0.2
